station,category,split,start_date,end_date,status,flags,has_s2,has_s1_asc,has_s1_desc,has_cm,has_dem,has_lulc,has_soil,has_era5,has_sif,has_twsa,has_labels_sm,has_labels_le,n_s2_dates,n_cm_dates,n_s2_missing_cm,cm_coverage_pct,s2_missing_years,s1_asc_missing_years,s1_desc_missing_years,cm_missing_years,satellite_missing_years,era5_missing_years,labels_sm_missing_years,labels_le_missing_years,sif_missing_years,twsa_missing_years,has_raw_satzarr,n_s2_raw,s2_token_minus_raw,s2_raw_minus_token,n_s1_asc_raw,s1_asc_token_minus_raw,s1_asc_raw_minus_token,n_s1_desc_raw,s1_desc_token_minus_raw,s1_desc_raw_minus_token,has_raw_dem,has_raw_lulc,dem_nan,lulc_nan,soil_nan_pct,era5_nan,sif_nan,twsa_nan,labels_sm_nan,labels_le_nan_frac,sm_continuous_years,le_continuous_years,lt_3yr_labels
ISMN_AMMA-CATCH_Banizoumbou,sm_only,train,20160101,20181230,OK,"INFO_sif_missing_years(2016,2017)",True,True,False,True,True,True,True,True,True,True,True,False,103,103,0,100.0,,,,,,,,,"2016,2017",,True,103,0,0,84.0,0.0,0.0,,,,True,True,False,False,0.0,False,False,False,False,,3.0,,False
ISMN_AMMA-CATCH_Tondikiboro,sm_only,train,20160101,20181230,OK,"INFO_sif_missing_years(2016,2017)|INFO_soil_nan_pct(0.1%)",True,True,False,True,True,True,True,True,True,True,True,False,102,102,0,100.0,,,,,,,,,"2016,2017",,True,102,0,0,84.0,0.0,0.0,,,,True,True,False,False,0.0013,False,False,False,False,,3.0,,False
ISMN_ARM_Anthony,sm_only,train,20160101,20210920,OK,"INFO_sif_missing_years(2016,2017)",True,True,False,True,True,True,True,True,True,True,True,False,330,330,0,100.0,,,,,,,,,"2016,2017",,True,330,0,0,246.0,0.0,0.0,,,,True,True,False,False,0.0,False,False,False,False,,6.0,,False
ISMN_ARM_Ashton,sm_only,train,20160226,20230928,OK,"INFO_sif_missing_years(2016,2017)|INFO_soil_nan_pct(0.0%)",True,True,False,True,True,True,True,True,True,True,True,False,235,235,0,100.0,,,,,,,,,"2016,2017",,True,235,0,0,308.0,0.0,0.0,,,,True,True,False,False,0.0002,False,False,False,False,,8.0,,False
ISMN_ARM_Byron,sm_only,train,20160225,20211130,OK,"INFO_sif_missing_years(2016,2017)",True,True,False,True,True,True,True,True,True,True,True,False,350,350,0,100.0,,,,,,,,,"2016,2017",,True,350,0,0,407.0,0.0,0.0,,,,True,True,False,False,0.0,False,False,False,False,,6.0,,False
ISMN_ARM_Lamont-CF1,sm_only,train,20160223,20251230,OK,"INFO_sif_missing_years(2016,2017)|INFO_twsa_missing_years(2025)",True,True,False,True,True,True,True,True,True,True,True,False,321,321,0,100.0,,,,,,,,,"2016,2017",2025,True,321,0,0,375.0,0.0,0.0,,,,True,True,False,False,0.0,False,False,False,False,,10.0,,False
ISMN_ARM_Lamont-CF2,sm_only,train,20210729,20251230,OK,INFO_twsa_missing_years(2025),True,True,False,True,True,True,True,True,True,True,True,False,169,169,0,100.0,,,,,,,,,,2025,True,169,0,0,138.0,0.0,0.0,,,,True,True,False,False,0.0,False,False,False,False,,5.0,,False
ISMN_ARM_MapleCity,sm_only,oos,20191004,20230928,OK,INFO_soil_nan_pct(0.0%),True,True,False,True,True,True,True,True,True,True,True,False,299,299,0,100.0,,,,,,,,,,,True,299,0,0,174.0,0.0,0.0,,,,True,True,False,False,0.0004,False,False,False,False,,5.0,,False
ISMN_ARM_Marshall,sm_only,train,20160525,20230928,OK,"INFO_sif_missing_years(2016,2017)",True,True,False,True,True,True,True,True,True,True,True,False,242,242,0,100.0,,,,,,,,,"2016,2017",,True,242,0,0,304.0,0.0,0.0,,,,True,True,False,False,0.0,False,False,False,False,,8.0,,False
ISMN_ARM_Medford,sm_only,oos,20160226,20251230,OK,"INFO_sif_missing_years(2016,2017)|INFO_twsa_missing_years(2025)",True,True,False,True,True,True,True,True,True,True,True,False,655,655,0,100.0,,,,,,,,,"2016,2017",2025,True,655,0,0,374.0,0.0,0.0,,,,True,True,False,False,0.0,False,False,False,False,,10.0,,False
ISMN_ARM_Morrison,sm_only,train,20160101,20251230,OK,"INFO_sif_missing_years(2016,2017)|INFO_twsa_missing_years(2025)|INFO_soil_nan_pct(0.0%)",True,True,False,True,True,True,True,True,True,True,True,False,325,325,0,100.0,,,,,,,,,"2016,2017",2025,True,325,0,0,376.0,0.0,0.0,,,,True,True,False,False,0.0002,False,False,False,False,,10.0,,False
ISMN_ARM_Newkirk,sm_only,train,20160224,20251230,OK,"INFO_sif_missing_years(2016,2017)|INFO_twsa_missing_years(2025)",True,True,False,True,True,True,True,True,True,True,True,False,307,307,0,100.0,,,,,,,,,"2016,2017",2025,True,307,0,0,375.0,0.0,0.0,,,,True,True,False,False,0.0,False,False,False,False,,10.0,,False
