station,depth,sm_min,sm_max,n_total_obs,n_out_of_range,pct_out_of_range
ISMN_SNOTEL_UpperRioGrande,0-10,0.0,280.9020080566406,2269,20,0.9
ISMN_SNOTEL_LittleSnakeRiver,30-100,0.0,147.39999389648438,1991,12,0.6
ISMN_SNOTEL_BakerButte,0-10,0.0,134.6934814453125,3466,5,0.1
ISMN_SNOTEL_WindyPeak,0-10,0.0,130.05703735351562,1590,26,1.6
ISMN_SNOTEL_WindyPeak,30-100,0.0,111.06229400634766,1590,10,0.6
ISMN_SNOTEL_LittleSnakeRiver,10-30,0.11391666531562805,104.33102416992188,1991,7,0.4
ISMN_SNOTEL_WilsonCreek,0-10,0.0,96.91560363769531,1727,1,0.1
ISMN_SNOTEL_TresRitos,10-30,0.003913043532520533,75.45223236083984,3644,10,0.3
ISMN_SNOTEL_Cascade#2,0-10,0.039041668176651,65.84141540527344,1992,1,0.1
ISMN_SNOTEL_ParkReservoir,30-100,0.30933332443237305,65.16854095458984,2006,1,0.0
ISMN_SNOTEL_CouchSummit,0-10,0.0,63.824607849121094,1539,1,0.1
ISMN_SNOTEL_MormonMtnSummit,0-10,0.006583333481103182,63.68170928955078,3363,3,0.1
ISMN_SNOTEL_CinnabarPark,0-10,0.04045833274722099,62.100521087646484,1737,3,0.2
ISMN_SNOTEL_CrowCreek,0-10,0.0,61.74754333496094,3513,1,0.0
ISMN_SNOTEL_HawleyLake,10-30,0.14670833945274353,61.1973762512207,2680,4,0.1
ISMN_SNOTEL_SantaquinMeadows,30-100,0.008166667073965073,60.93021011352539,2630,1,0.0
ISMN_SNOTEL_BearCreek,0-10,0.0,60.65913009643555,2266,1,0.0
ISMN_SNOTEL_WilsonCreek,30-100,0.030500000342726707,60.55291748046875,1727,1,0.1
ISMN_SNOTEL_Cascade#2,10-30,0.02229166589677334,60.5282096862793,1992,1,0.1
ISMN_SNOTEL_Zirkel,0-10,0.001500000013038516,60.250125885009766,3363,2,0.1
ISMN_SNOTEL_Zirkel,10-30,0.06424999982118607,60.05274963378906,3363,1,0.0
ISMN_SNOTEL_GraniteCreek,0-10,0.12145833671092987,59.94333267211914,3643,1,0.0
ISMN_SNOTEL_GrizzlyPeak,0-10,0.0,59.467498779296875,2015,1,0.0
ISMN_SNOTEL_LongDrawResv,0-10,0.003916666842997074,58.795875549316406,1473,1,0.1
ISMN_SNOTEL_CinnabarPark,10-30,0.11927083134651184,58.60002136230469,1737,2,0.1
ISMN_SNOTEL_JonesPass,30-100,0.0,58.255374908447266,2202,1,0.0
ISMN_SNOTEL_HawleyLake,30-100,0.20424999296665192,54.6192512512207,2680,3,0.1
ISMN_SNOTEL_SantaFe,10-30,0.02641666680574417,47.69129180908203,3641,1,0.0
ISMN_SNOTEL_Baldy,30-100,0.0,31.881332397460938,1378,1,0.1
ISMN_SNOTEL_BuckskinJoe,10-30,0.026895834133028984,30.835187911987305,2094,2,0.1
ISMN_SNOTEL_LoneCone,30-100,0.0,27.898250579833984,2349,1,0.0
ISMN_SNOTEL_SageCreekBasin,0-10,0.0038333332631736994,20.329875946044922,1593,3,0.2
ISMN_SNOTEL_LongDrawResv,10-30,0.0,11.13154125213623,1473,1,0.1
ISMN_SNOTEL_CouchSummit,30-100,0.003583333222195506,9.979999542236328,1539,9,0.6
ISMN_SNOTEL_CrowCreek,10-30,0.03831249848008156,5.474289894104004,3514,1,0.0
ISMN_SNOTEL_SageCreekBasin,30-100,0.05391666665673256,2.0744781494140625,1592,1,0.1
ISMN_SNOTEL_SageCreekBasin,10-30,0.05620833486318588,1.60167396068573,1592,1,0.1
