station,category,split,start_date,end_date,complete,has_s2,has_s1_asc,has_s1_desc,has_cm,has_dem,has_lulc,has_soil,has_era5,has_sif,has_twsa,has_labels_sm,has_labels_le,n_s2_dates,n_cm_dates,n_s2_missing_cm,cm_coverage_pct,s2_missing_years,s1_asc_missing_years,s1_desc_missing_years,cm_missing_years,satellite_missing_years,era5_missing_years,labels_sm_missing_years,labels_le_missing_years,sif_missing_years,twsa_missing_years,status,flags
ISMN_AMMA-CATCH_Banizoumbou,sm_only,train,20160101,20181230,True,True,True,False,True,True,True,True,True,True,True,True,False,103,103,0,100.0,,,,,,,,,"2016,2017",,OK,"INFO_sif_missing_years(2016,2017)"
ISMN_AMMA-CATCH_Tondikiboro,sm_only,train,20160101,20181230,True,True,True,False,True,True,True,True,True,True,True,True,False,102,102,0,100.0,,,,,,,,,"2016,2017",,OK,"INFO_sif_missing_years(2016,2017)"
ISMN_ARM_Anthony,sm_only,train,20160101,20210920,True,True,True,False,True,True,True,True,True,True,True,True,False,330,330,0,100.0,,,,,,,,,"2016,2017",,OK,"INFO_sif_missing_years(2016,2017)"
ISMN_ARM_Ashton,sm_only,train,20160226,20230928,True,True,True,False,True,True,True,True,True,True,True,True,False,235,235,0,100.0,,,,,,,,,"2016,2017",,OK,"INFO_sif_missing_years(2016,2017)"
ISMN_ARM_Byron,sm_only,train,20160225,20211130,True,True,True,False,True,True,True,True,True,True,True,True,False,350,350,0,100.0,,,,,,,,,"2016,2017",,OK,"INFO_sif_missing_years(2016,2017)"
ISMN_ARM_Lamont-CF1,sm_only,train,20160223,20251230,True,True,True,False,True,True,True,True,True,True,True,True,False,321,321,0,100.0,,,,,,,,,"2016,2017",2025,OK,"INFO_sif_missing_years(2016,2017)|INFO_twsa_missing_years(2025)"
ISMN_ARM_Lamont-CF2,sm_only,train,20210729,20251230,True,True,True,False,True,True,True,True,True,True,True,True,False,169,169,0,100.0,,,,,,,,,,2025,OK,INFO_twsa_missing_years(2025)
ISMN_ARM_MapleCity,sm_only,oos,20191004,20230928,True,True,True,False,True,True,True,True,True,True,True,True,False,299,299,0,100.0,,,,,,,,,,,OK,
ISMN_ARM_Marshall,sm_only,train,20160525,20230928,True,True,True,False,True,True,True,True,True,True,True,True,False,242,242,0,100.0,,,,,,,,,"2016,2017",,OK,"INFO_sif_missing_years(2016,2017)"
ISMN_ARM_Medford,sm_only,oos,20160226,20251230,True,True,True,False,True,True,True,True,True,True,True,True,False,655,655,0,100.0,,,,,,,,,"2016,2017",2025,OK,"INFO_sif_missing_years(2016,2017)|INFO_twsa_missing_years(2025)"
ISMN_ARM_Morrison,sm_only,train,20160101,20251230,True,True,True,False,True,True,True,True,True,True,True,True,False,325,325,0,100.0,,,,,,,,,"2016,2017",2025,OK,"INFO_sif_missing_years(2016,2017)|INFO_twsa_missing_years(2025)"
ISMN_ARM_Newkirk,sm_only,train,20160224,20251230,True,True,True,False,True,True,True,True,True,True,True,True,False,307,307,0,100.0,,,,,,,,,"2016,2017",2025,OK,"INFO_sif_missing_years(2016,2017)|INFO_twsa_missing_years(2025)"
ISMN_ARM_Omega,sm_only,oos,20160101,20210606,True,True,True,False,True,True,True,True,True,True,True,True,False,300,300,0,100.0,,,,,,,,,"2016,2017",,OK,"INFO_sif_missing_years(2016,2017)"
ISMN_ARM_Pawhuska,sm_only,train,20160305,20251230,True,True,True,False,True,True,True,True,True,True,True,True,False,297,297,0,100.0,,,,,,,,,"2016,2017",2025,OK,"INFO_sif_missing_years(2016,2017)|INFO_twsa_missing_years(2025)"
ISMN_ARM_Ringwood,sm_only,train,20160302,20230928,True,True,True,False,True,True,True,True,True,True,True,True,False,500,500,0,100.0,,,,,,,,,"2016,2017",,OK,"INFO_sif_missing_years(2016,2017)"
ISMN_ARM_Tryon,sm_only,train,20160303,20230928,True,True,True,False,True,True,True,True,True,True,True,True,False,237,237,0,100.0,,,,,,,,,"2016,2017",,OK,"INFO_sif_missing_years(2016,2017)"
ISMN_ARM_Tyro,sm_only,train,20160101,20251230,True,True,True,True,True,True,True,True,True,True,True,True,False,588,588,0,100.0,,,"2016,2017,2018,2019,2021,2022,2023,2024,2025",,,,,,"2016,2017",2025,OK,"INFO_s1_desc_missing_years(2016,2017,2018,2019,2021,2022,2023,2024,2025)|INFO_sif_missing_years(2016,2017)|INFO_twsa_missing_years(2025)"
