region_id,n_stations,centre_lat,centre_lon,laea_proj4,res_m,x_min,y_min,x_max,y_max,width_px,height_px,width_km,height_km,n_cells,dem_gb,lat_min,lat_max,lon_min,lon_max,n_glo30_tiles,glo30_tiles,antimeridian,crosses_lat_band,buffer_km,linkage_km
0,146,39.837636,-111.602418,+proj=laea +lat_0=39.837636 +lon_0=-111.602418 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs,30.0,-218070.0,-304770.0,202080.0,256860.0,14005,18721,420.15,561.63,262187605,1.049,37.065456,42.150777,-114.239419,-109.158689,36,N37W115;N37W114;N37W113;N37W112;N37W111;N37W110;N38W115;N38W114;N38W113;N38W112;N38W111;N38W110;N39W115;N39W114;N39W113;N39W112;N39W111;N39W110;N40W115;N40W114;N40W113;N40W112;N40W111;N40W110;N41W115;N41W114;N41W113;N41W112;N41W111;N41W110;N42W115;N42W114;N42W113;N42W112;N42W111;N42W110,False,False,10.0,50.0
1,40,40.03603,-106.328804,+proj=laea +lat_0=40.036030 +lon_0=-106.328804 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs,30.0,-88800.0,-182910.0,77730.0,163110.0,5551,11534,166.53,346.02,64025234,0.256,38.383944,41.504896,-107.392246,-105.397925,12,N38W108;N38W107;N38W106;N39W108;N39W107;N39W106;N40W108;N40W107;N40W106;N41W108;N41W107;N41W106,False,False,10.0,50.0
2,40,30.332779,-98.763345,+proj=laea +lat_0=30.332779 +lon_0=-98.763345 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs,30.0,-29100.0,-29640.0,25830.0,25380.0,1831,1834,54.93,55.02,3358054,0.013,30.065058,30.561717,-99.066663,-98.494111,2,N30W100;N30W099,False,False,10.0,50.0
3,33,38.877486,-119.898625,+proj=laea +lat_0=38.877486 +lon_0=-119.898625 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs,30.0,-51600.0,-100230.0,78720.0,79200.0,4344,5981,130.32,179.43,25981464,0.104,37.971099,39.590881,-120.499288,-118.98228,9,N37W121;N37W120;N37W119;N38W121;N38W120;N38W119;N39W121;N39W120;N39W119,False,False,10.0,50.0
4,19,36.150429,-105.934708,+proj=laea +lat_0=36.150429 +lon_0=-105.934708 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs,30.0,-92220.0,-60300.0,76380.0,128880.0,5620,6306,168.6,189.18,35439720,0.142,35.602653,37.311829,-106.974908,-105.073168,6,N35W107;N35W106;N36W107;N36W106;N37W107;N37W106,False,False,10.0,50.0
5,18,41.32725,-5.398411,+proj=laea +lat_0=41.327250 +lon_0=-5.398411 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs,30.0,-27360.0,-25710.0,25680.0,25410.0,1768,1704,53.04,51.12,3012672,0.012,41.09529,41.556041,-5.72637,-5.09059,1,N41W006,False,False,10.0,50.0
6,17,36.608816,-97.524043,+proj=laea +lat_0=36.608816 +lon_0=-97.524043 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs,30.0,-79290.0,-93960.0,52200.0,78390.0,4383,5745,131.49,172.35,25180335,0.101,35.758812,37.315188,-98.418482,-96.935188,9,N35W099;N35W098;N35W097;N36W099;N36W098;N36W097;N37W099;N37W098;N37W097,False,False,10.0,50.0
7,16,52.480125,13.458725,+proj=laea +lat_0=52.480125 +lon_0=13.458725 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs,30.0,-34080.0,-45780.0,56670.0,28380.0,3025,2472,90.75,74.16,7477800,0.03,52.065802,52.735161,12.954201,14.297651,3,N52E012;N52E013;N52E014,False,False,10.0,50.0
8,14,41.681326,-115.695863,+proj=laea +lat_0=41.681326 +lon_0=-115.695863 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs,30.0,-65130.0,-61350.0,68550.0,48150.0,4456,3650,133.68,109.5,16264400,0.065,41.126026,42.114834,-116.483362,-114.867014,6,N41W117;N41W116;N41W115;N42W117;N42W116;N42W115,False,False,10.0,50.0
9,14,42.230699,1.248109,+proj=laea +lat_0=42.230699 +lon_0=1.248109 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs,30.0,-45060.0,-58560.0,96660.0,50820.0,4724,3646,141.72,109.38,17223704,0.069,41.697587,42.688201,0.698291,2.427495,6,N41E000;N41E001;N41E002;N42E000;N42E001;N42E002,False,False,10.0,50.0
