station,years_satellite,reason
ISMN_AMMA-CATCH_Belefoungou-Mid,2,Fewer than 3 years of satellite (S2/S1) coverage
ISMN_AMMA-CATCH_Belefoungou-Top,2,Fewer than 3 years of satellite (S2/S1) coverage
ISMN_FMI_SODAWS,2,Fewer than 3 years of satellite (S2/S1) coverage
ISMN_HOBE_2.10,2,Fewer than 3 years of satellite (S2/S1) coverage
ISMN_OZNET_Yamma-Road,2,Fewer than 3 years of satellite (S2/S1) coverage
ISMN_SCAN_Isabela,2,Fewer than 3 years of satellite (S2/S1) coverage
ISMN_SCAN_Ku-Nesa,2,Fewer than 3 years of satellite (S2/S1) coverage
ISMN_SCAN_Lindsay,2,Fewer than 3 years of satellite (S2/S1) coverage
ISMN_SCAN_Livingston-UWA,2,Fewer than 3 years of satellite (S2/S1) coverage
ISMN_SCAN_NaknekRiver,2,Fewer than 3 years of satellite (S2/S1) coverage
ISMN_SCAN_ShadowMtns,2,Fewer than 3 years of satellite (S2/S1) coverage
ISMN_SNOTEL_CochetopaPass,2,Fewer than 3 years of satellite (S2/S1) coverage
ISMN_SNOTEL_FortValley,2,Fewer than 3 years of satellite (S2/S1) coverage
ISMN_SNOTEL_Hyndman,2,Fewer than 3 years of satellite (S2/S1) coverage
ISMN_TERENO_Wildenrath,2,Fewer than 3 years of satellite (S2/S1) coverage
ISMN_TWENTE_ITCSM-02b,2,Fewer than 3 years of satellite (S2/S1) coverage
ISMN_USCRN_Edinburg-17-NNE,2,Fewer than 3 years of satellite (S2/S1) coverage
