station,split,year,s2,s1
AmeriFlux_CA-Cbo,oos,2017,6,81
AmeriFlux_CA-Cbo,oos,2018,27,82
AmeriFlux_CA-Cbo,oos,2019,27,86
AmeriFlux_CA-Cbo,oos,2020,44,83
AmeriFlux_CA-DB2,train,2019,1,10
AmeriFlux_CA-DB2,train,2020,23,88
AmeriFlux_CA-DB2,train,2021,22,93
AmeriFlux_CA-DB2,train,2022,18,47
AmeriFlux_CA-DB2,train,2023,21,60
AmeriFlux_CA-DB2,train,2024,17,48
AmeriFlux_CA-DBB,train,2018,22,76
AmeriFlux_CA-DBB,train,2019,25,89
AmeriFlux_CA-DBB,train,2020,25,88
AmeriFlux_CA-DBB,train,2021,21,90
AmeriFlux_CA-DSM,train,2021,5,28
AmeriFlux_CA-DSM,train,2022,23,47
AmeriFlux_CA-DSM,train,2023,25,60
AmeriFlux_CA-DSM,train,2024,24,48
AmeriFlux_CA-Mer,train,2017,34,61
AmeriFlux_CA-Mer,train,2018,50,54
AmeriFlux_CA-Mer,train,2019,40,63
AmeriFlux_CA-Mer,train,2020,46,59
AmeriFlux_CA-TP1,train,2019,12,19
AmeriFlux_CA-TP1,train,2020,30,26
AmeriFlux_CA-TP1,train,2021,31,28
AmeriFlux_CA-TP1,train,2022,22,24
AmeriFlux_CA-TP1,train,2023,21,25
AmeriFlux_CA-TP3,oos,2018,8,10
AmeriFlux_CA-TP3,oos,2019,20,31
AmeriFlux_CA-TP3,oos,2020,26,26
AmeriFlux_CA-TP3,oos,2021,27,28
AmeriFlux_CA-TP3,oos,2022,22,24
AmeriFlux_CA-TP3,oos,2023,18,25
AmeriFlux_CA-TPD,train,2017,6,30
AmeriFlux_CA-TPD,train,2018,22,30
AmeriFlux_CA-TPD,train,2019,16,31
AmeriFlux_CA-TPD,train,2020,28,26
AmeriFlux_CA-TPD,train,2021,27,28
AmeriFlux_CA-TPD,train,2022,23,24
AmeriFlux_CA-TPD,train,2023,23,25
AmeriFlux_US-ALQ,val,2019,40,29
AmeriFlux_US-ALQ,val,2020,49,31
AmeriFlux_US-ALQ,val,2021,48,29
AmeriFlux_US-ALQ,val,2022,38,0
AmeriFlux_US-ALQ,val,2023,1,0
AmeriFlux_US-ARM,train,2017,17,24
AmeriFlux_US-ARM,train,2018,34,49
AmeriFlux_US-ARM,train,2019,38,55
AmeriFlux_US-ARM,train,2020,34,54
AmeriFlux_US-ARM,train,2021,40,58
AmeriFlux_US-ARM,train,2022,41,27
AmeriFlux_US-ARM,train,2023,10,11
AmeriFlux_US-BZB,train,2018,49,74
AmeriFlux_US-BZB,train,2019,56,74
AmeriFlux_US-BZB,train,2020,67,81
AmeriFlux_US-BZB,train,2021,57,80
AmeriFlux_US-BZB,train,2022,61,50
AmeriFlux_US-BZB,train,2023,46,79
AmeriFlux_US-BZB,train,2024,56,52
AmeriFlux_US-BZo,train,2018,39,63
AmeriFlux_US-BZo,train,2019,53,74
AmeriFlux_US-BZo,train,2020,67,81
AmeriFlux_US-BZo,train,2021,55,72
AmeriFlux_US-Bi1,train,2017,33,63
AmeriFlux_US-Bi1,train,2018,45,63
AmeriFlux_US-Bi1,train,2019,44,125
AmeriFlux_US-Bi1,train,2020,50,145
AmeriFlux_US-Bi1,train,2021,50,148
AmeriFlux_US-Bi1,train,2022,52,86
AmeriFlux_US-Bi1,train,2023,50,86
AmeriFlux_US-Bi1,train,2024,51,79
AmeriFlux_US-Bi2,train,2017,31,56
AmeriFlux_US-Bi2,train,2018,43,73
AmeriFlux_US-Bi2,train,2019,44,149
AmeriFlux_US-Bi2,train,2020,51,171
AmeriFlux_US-Bi2,train,2021,50,176
AmeriFlux_US-DFC,oos,2018,8,12
AmeriFlux_US-DFC,oos,2019,27,59
AmeriFlux_US-DFC,oos,2020,34,61
AmeriFlux_US-DFC,oos,2021,23,57
AmeriFlux_US-DFC,oos,2022,26,28
AmeriFlux_US-DFC,oos,2023,28,28
AmeriFlux_US-DS2,train,2020,46,142
AmeriFlux_US-DS2,train,2021,51,176
AmeriFlux_US-DS2,train,2022,51,86
AmeriFlux_US-DS2,train,2023,41,67
AmeriFlux_US-Dmg,train,2021,13,70
AmeriFlux_US-Dmg,train,2022,49,115
AmeriFlux_US-Dmg,train,2023,50,112
AmeriFlux_US-Dmg,train,2024,51,104
AmeriFlux_US-Esm,oos,2017,3,4
AmeriFlux_US-Esm,oos,2018,18,25
AmeriFlux_US-Esm,oos,2019,22,33
AmeriFlux_US-Esm,oos,2020,17,28
AmeriFlux_US-Esm,oos,2021,15,29
AmeriFlux_US-Esm,oos,2022,23,27
AmeriFlux_US-Esm,oos,2023,15,20
AmeriFlux_US-EvM,train,2020,17,18
AmeriFlux_US-EvM,train,2021,37,29
AmeriFlux_US-EvM,train,2022,37,27
AmeriFlux_US-EvM,train,2023,17,12
AmeriFlux_US-GL1,train,2019,32,33
AmeriFlux_US-GL1,train,2020,51,59
AmeriFlux_US-GL1,train,2021,41,50
AmeriFlux_US-GL1,train,2022,39,30
AmeriFlux_US-GLE,train,2017,19,53
AmeriFlux_US-GLE,train,2018,36,49
AmeriFlux_US-GLE,train,2019,37,51
AmeriFlux_US-GLE,train,2020,27,40
AmeriFlux_US-HB1,val,2019,6,5
AmeriFlux_US-HB1,val,2020,47,56
AmeriFlux_US-HB1,val,2021,65,58
AmeriFlux_US-HB1,val,2022,68,56
AmeriFlux_US-HB3,train,2019,64,62
AmeriFlux_US-HB3,train,2020,52,56
AmeriFlux_US-HB3,train,2021,55,58
AmeriFlux_US-HB3,train,2022,63,56
AmeriFlux_US-HB4,train,2020,41,46
AmeriFlux_US-HB4,train,2021,57,58
AmeriFlux_US-HB4,train,2022,60,56
AmeriFlux_US-HB4,train,2023,61,56
AmeriFlux_US-HB4,train,2024,60,51
AmeriFlux_US-Ho1,oos,2017,12,28
AmeriFlux_US-Ho1,oos,2018,22,44
AmeriFlux_US-Ho1,oos,2019,23,52
AmeriFlux_US-Ho1,oos,2020,27,57
AmeriFlux_US-Ho1,oos,2021,24,58
AmeriFlux_US-Ho1,oos,2022,23,28
AmeriFlux_US-Ho1,oos,2023,22,30
AmeriFlux_US-Ho2,oos,2020,22,48
AmeriFlux_US-Ho2,oos,2021,25,58
AmeriFlux_US-Ho2,oos,2022,24,28
AmeriFlux_US-Ho2,oos,2023,13,18
AmeriFlux_US-Hsm,oos,2021,44,124
AmeriFlux_US-Hsm,oos,2022,51,85
AmeriFlux_US-Hsm,oos,2023,47,81
AmeriFlux_US-Hsm,oos,2024,49,79
AmeriFlux_US-ICs,val,2017,16,59
AmeriFlux_US-ICs,val,2018,43,79
AmeriFlux_US-ICs,val,2019,42,82
AmeriFlux_US-ICs,val,2020,33,60
AmeriFlux_US-ICt,val,2017,16,59
AmeriFlux_US-ICt,val,2018,40,79
AmeriFlux_US-ICt,val,2019,40,82
AmeriFlux_US-ICt,val,2020,25,58
AmeriFlux_US-Jo1,train,2017,14,31
AmeriFlux_US-Jo1,train,2018,54,89
AmeriFlux_US-Jo1,train,2019,49,90
AmeriFlux_US-Jo1,train,2020,66,88
AmeriFlux_US-Jo1,train,2021,11,24
AmeriFlux_US-Jo2,train,2017,1,3
AmeriFlux_US-Jo2,train,2018,53,89
AmeriFlux_US-Jo2,train,2019,54,90
AmeriFlux_US-Jo2,train,2020,64,88
AmeriFlux_US-KFS,oos,2017,30,51
AmeriFlux_US-KFS,oos,2018,60,56
AmeriFlux_US-KFS,oos,2019,62,50
AmeriFlux_US-KLS,oos,2017,31,23
AmeriFlux_US-KLS,oos,2018,68,26
AmeriFlux_US-KLS,oos,2019,72,27
AmeriFlux_US-Kon,train,2017,17,45
AmeriFlux_US-Kon,train,2018,25,53
AmeriFlux_US-Kon,train,2019,35,47
AmeriFlux_US-MMS,val,2017,11,45
AmeriFlux_US-MMS,val,2018,22,48
AmeriFlux_US-MMS,val,2019,15,57
AmeriFlux_US-MMS,val,2020,30,58
AmeriFlux_US-MN2,train,2019,25,49
AmeriFlux_US-MN2,train,2020,27,52
AmeriFlux_US-MN2,train,2021,32,52
AmeriFlux_US-MN2,train,2022,25,16
AmeriFlux_US-MN2,train,2023,39,24
AmeriFlux_US-MN2,train,2024,29,24
AmeriFlux_US-MN3,train,2020,20,37
AmeriFlux_US-MN3,train,2021,34,52
AmeriFlux_US-MN3,train,2022,27,16
AmeriFlux_US-MN3,train,2023,38,24
AmeriFlux_US-MN3,train,2024,30,24
AmeriFlux_US-Me2,train,2019,28,61
AmeriFlux_US-Me2,train,2020,38,60
AmeriFlux_US-Me2,train,2021,32,65
AmeriFlux_US-Me2,train,2022,12,23
AmeriFlux_US-Me6,train,2020,24,33
AmeriFlux_US-Me6,train,2021,36,65
AmeriFlux_US-Me6,train,2022,33,51
AmeriFlux_US-Me6,train,2023,37,56
AmeriFlux_US-Me6,train,2024,32,54
AmeriFlux_US-Mo1,val,2018,56,28
AmeriFlux_US-Mo1,val,2019,48,26
AmeriFlux_US-Mo1,val,2020,51,25
AmeriFlux_US-Mo1,val,2021,58,28
AmeriFlux_US-Mo1,val,2022,65,20
AmeriFlux_US-Mo1,val,2023,74,19
AmeriFlux_US-Mo1,val,2024,73,21
AmeriFlux_US-Mo2,train,2018,30,29
AmeriFlux_US-Mo2,train,2019,26,26
AmeriFlux_US-Mo2,train,2020,35,25
AmeriFlux_US-Mo2,train,2021,27,28
AmeriFlux_US-Mo2,train,2022,28,22
AmeriFlux_US-Mo2,train,2023,2,2
AmeriFlux_US-Mo3,val,2017,33,27
AmeriFlux_US-Mo3,val,2018,59,29
AmeriFlux_US-Mo3,val,2019,50,26
AmeriFlux_US-Mo3,val,2020,55,25
AmeriFlux_US-Mo3,val,2021,55,28
AmeriFlux_US-Mpj,train,2017,37,104
AmeriFlux_US-Mpj,train,2018,88,108
AmeriFlux_US-Mpj,train,2019,82,110
AmeriFlux_US-Mpj,train,2020,108,114
AmeriFlux_US-Mpj,train,2021,92,117
AmeriFlux_US-Mpj,train,2022,87,66
AmeriFlux_US-Mpj,train,2023,104,87
AmeriFlux_US-Mpj,train,2024,40,40
AmeriFlux_US-MtB,oos,2019,37,67
AmeriFlux_US-MtB,oos,2020,43,90
AmeriFlux_US-MtB,oos,2021,43,117
AmeriFlux_US-MtB,oos,2022,41,80
AmeriFlux_US-MtB,oos,2023,48,85
AmeriFlux_US-MtB,oos,2024,51,78
AmeriFlux_US-NC3,train,2017,11,28
AmeriFlux_US-NC3,train,2018,30,28
AmeriFlux_US-NC3,train,2019,32,29
AmeriFlux_US-NC3,train,2020,5,4
AmeriFlux_US-Ne1,oos,2017,28,22
AmeriFlux_US-Ne1,oos,2018,55,27
AmeriFlux_US-Ne1,oos,2019,63,20
AmeriFlux_US-Ne1,oos,2020,63,27
AmeriFlux_US-Ne1,oos,2021,65,28
AmeriFlux_US-Ne1,oos,2022,77,28
AmeriFlux_US-Ne1,oos,2023,70,27
AmeriFlux_US-Ne1,oos,2024,71,22
AmeriFlux_US-Ne2,oos,2017,28,22
AmeriFlux_US-Ne2,oos,2018,54,27
AmeriFlux_US-Ne2,oos,2019,62,20
AmeriFlux_US-Ne2,oos,2020,66,27
AmeriFlux_US-Ne2,oos,2021,67,28
AmeriFlux_US-Ne2,oos,2022,75,28
AmeriFlux_US-Ne2,oos,2023,71,27
AmeriFlux_US-Ne2,oos,2024,19,7
AmeriFlux_US-ONA,train,2018,14,36
AmeriFlux_US-ONA,train,2019,19,60
AmeriFlux_US-ONA,train,2020,27,59
AmeriFlux_US-ONA,train,2021,24,56
AmeriFlux_US-ONA,train,2022,25,56
AmeriFlux_US-RGB,val,2021,44,211
AmeriFlux_US-RGB,val,2022,52,115
AmeriFlux_US-RGB,val,2023,50,113
AmeriFlux_US-RGB,val,2024,18,45
AmeriFlux_US-RGo,val,2021,52,115
AmeriFlux_US-RGo,val,2022,108,115
AmeriFlux_US-RGo,val,2023,95,113
AmeriFlux_US-RGo,val,2024,90,110
AmeriFlux_US-Rls,train,2017,47,82
AmeriFlux_US-Rls,train,2018,67,91
AmeriFlux_US-Rls,train,2019,53,109
AmeriFlux_US-Rls,train,2020,69,178
AmeriFlux_US-Rls,train,2021,69,176
AmeriFlux_US-Rls,train,2022,72,87
AmeriFlux_US-Rls,train,2023,45,66
AmeriFlux_US-Rms,train,2017,43,83
AmeriFlux_US-Rms,train,2018,62,91
AmeriFlux_US-Rms,train,2019,56,109
AmeriFlux_US-Rms,train,2020,75,178
AmeriFlux_US-Rms,train,2021,64,176
AmeriFlux_US-Rms,train,2022,70,87
AmeriFlux_US-Rms,train,2023,45,66
AmeriFlux_US-Ro4,val,2017,29,30
AmeriFlux_US-Ro4,val,2018,56,30
AmeriFlux_US-Ro4,val,2019,45,30
AmeriFlux_US-Ro4,val,2020,56,31
AmeriFlux_US-Ro4,val,2021,53,30
AmeriFlux_US-Ro4,val,2022,62,16
AmeriFlux_US-Ro4,val,2023,56,18
AmeriFlux_US-Ro4,val,2024,56,15
AmeriFlux_US-Ro5,val,2017,0,30
AmeriFlux_US-Ro5,val,2018,27,30
AmeriFlux_US-Ro5,val,2019,48,30
AmeriFlux_US-Ro5,val,2020,58,31
AmeriFlux_US-Ro5,val,2021,59,30
AmeriFlux_US-Ro5,val,2022,62,16
AmeriFlux_US-Ro5,val,2023,57,18
AmeriFlux_US-Ro5,val,2024,64,20
AmeriFlux_US-Ro6,val,2017,0,30
AmeriFlux_US-Ro6,val,2018,28,30
AmeriFlux_US-Ro6,val,2019,49,30
AmeriFlux_US-Ro6,val,2020,59,31
AmeriFlux_US-Ro6,val,2021,58,30
AmeriFlux_US-Ro6,val,2022,62,16
AmeriFlux_US-Ro6,val,2023,56,18
AmeriFlux_US-Ro6,val,2024,65,20
AmeriFlux_US-Rwf,train,2017,45,83
AmeriFlux_US-Rwf,train,2018,55,91
AmeriFlux_US-Rwf,train,2019,50,109
AmeriFlux_US-Rwf,train,2020,72,178
AmeriFlux_US-Rwf,train,2021,59,176
AmeriFlux_US-Rwf,train,2022,55,87
AmeriFlux_US-Rwf,train,2023,24,66
AmeriFlux_US-Rws,train,2017,43,82
AmeriFlux_US-Rws,train,2018,61,91
AmeriFlux_US-Rws,train,2019,55,109
AmeriFlux_US-Rws,train,2020,73,178
AmeriFlux_US-Rws,train,2021,69,176
AmeriFlux_US-Rws,train,2022,70,87
AmeriFlux_US-Rws,train,2023,48,66
AmeriFlux_US-SHC,train,2017,26,27
AmeriFlux_US-SHC,train,2018,85,63
AmeriFlux_US-SHC,train,2019,83,98
AmeriFlux_US-SHC,train,2020,79,88
AmeriFlux_US-SRG,oos,2018,30,43
AmeriFlux_US-SRG,oos,2019,49,77
AmeriFlux_US-SRG,oos,2020,52,90
AmeriFlux_US-SRG,oos,2021,47,117
AmeriFlux_US-SRG,oos,2022,52,80
AmeriFlux_US-SRG,oos,2023,58,86
AmeriFlux_US-SRG,oos,2024,21,30
AmeriFlux_US-SRM,train,2019,49,77
AmeriFlux_US-SRM,train,2020,56,90
AmeriFlux_US-SRM,train,2021,48,117
AmeriFlux_US-SRM,train,2022,28,35
AmeriFlux_US-Seg,train,2017,17,78
AmeriFlux_US-Seg,train,2018,59,89
AmeriFlux_US-Seg,train,2019,57,90
AmeriFlux_US-Seg,train,2020,53,88
AmeriFlux_US-Seg,train,2021,45,87
AmeriFlux_US-Seg,train,2022,83,55
AmeriFlux_US-Seg,train,2023,101,57
AmeriFlux_US-Seg,train,2024,92,57
AmeriFlux_US-Ses,train,2018,28,31
AmeriFlux_US-Ses,train,2019,95,90
AmeriFlux_US-Ses,train,2020,108,88
AmeriFlux_US-Ses,train,2021,89,87
AmeriFlux_US-Sne,train,2017,37,117
AmeriFlux_US-Sne,train,2018,45,103
AmeriFlux_US-Sne,train,2019,47,179
AmeriFlux_US-Sne,train,2020,61,202
AmeriFlux_US-Ton,train,2017,18,53
AmeriFlux_US-Ton,train,2018,37,62
AmeriFlux_US-Ton,train,2019,41,98
AmeriFlux_US-Ton,train,2020,51,119
AmeriFlux_US-Tw4,train,2017,35,117
AmeriFlux_US-Tw4,train,2018,45,103
AmeriFlux_US-Tw4,train,2019,44,179
AmeriFlux_US-Tw4,train,2020,58,202
AmeriFlux_US-Tw4,train,2021,52,211
AmeriFlux_US-Tw4,train,2022,50,105
AmeriFlux_US-UC1,oos,2020,9,14
AmeriFlux_US-UC1,oos,2021,22,25
AmeriFlux_US-UC1,oos,2022,23,24
AmeriFlux_US-UC1,oos,2023,14,27
AmeriFlux_US-UC1,oos,2024,0,1
AmeriFlux_US-UMB,train,2017,12,56
AmeriFlux_US-UMB,train,2018,39,57
AmeriFlux_US-UMB,train,2019,34,59
AmeriFlux_US-UMB,train,2020,43,57
AmeriFlux_US-UMB,train,2021,50,51
AmeriFlux_US-UMd,train,2017,10,47
AmeriFlux_US-UMd,train,2018,38,57
AmeriFlux_US-UMd,train,2019,35,59
AmeriFlux_US-UMd,train,2020,38,57
AmeriFlux_US-UMd,train,2021,50,51
AmeriFlux_US-UMd,train,2022,34,20
AmeriFlux_US-UMd,train,2023,44,28
AmeriFlux_US-Var,train,2017,2,5
AmeriFlux_US-Var,train,2018,40,60
