station_id,region_id,latitude,longitude,laea_x,laea_y,tile_x_min,tile_y_min,tile_x_max,tile_y_max
ISMN_SCAN_BlueCreek,0,41.93531,-112.4336,-68946.715,233255.256,-70080.0,232110.0,-67800.0,234390.0
ISMN_SCAN_BuffaloJump,0,41.34363,-111.18798,34690.922,167308.09,33570.0,166170.0,35820.0,168450.0
ISMN_SCAN_CacheJunction,0,41.81568,-111.98043,-31414.543,219714.657,-32550.0,218580.0,-30270.0,220860.0
ISMN_SCAN_CaveValley,0,37.35524,-113.12341,-134770.25,-274423.809,-135900.0,-275550.0,-133650.0,-273300.0
ISMN_SCAN_ChickenRidge,0,41.33136,-111.3036,25017.554,165906.798,23880.0,164760.0,26160.0,167040.0
ISMN_SCAN_Circleville,0,38.15133,-112.25122,-56872.229,-186998.55,-58020.0,-188130.0,-55740.0,-185850.0
ISMN_SCAN_Enterprise,0,37.63343,-113.64324,-180144.043,-242656.372,-181290.0,-243780.0,-179010.0,-241530.0
ISMN_SCAN_Ephraim,0,39.36798,-111.57803,2101.657,-52144.306,960.0,-53280.0,3240.0,-51000.0
ISMN_SCAN_Grantsville,0,40.59089,-112.39258,-66891.007,83934.658,-68040.0,82800.0,-65760.0,85080.0
ISMN_SCAN_Holden,0,39.19216,-112.40155,-69037.299,-71358.084,-70170.0,-72480.0,-67890.0,-70230.0
ISMN_SCAN_LittleRedFox,0,40.17957,-110.30464,110527.369,38766.574,109380.0,37620.0,111660.0,39900.0
ISMN_SCAN_Manderfield,0,38.36649,-112.64291,-90934.485,-162797.888,-92070.0,-163920.0,-89790.0,-161670.0
ISMN_SCAN_Milford,0,38.34196,-113.01053,-123101.611,-165085.762,-124230.0,-166230.0,-121980.0,-163950.0
ISMN_SCAN_Morgan,0,40.9999,-111.68555,-6994.851,129060.535,-8130.0,127920.0,-5850.0,130200.0
ISMN_SCAN_MountainHome,0,40.37263,-110.40602,101605.554,60082.233,100470.0,58950.0,102750.0,61230.0
ISMN_SCAN_Nephi,0,39.64554,-111.87044,-23005.235,-21294.086,-24150.0,-22440.0,-21870.0,-20160.0
ISMN_SCAN_Panguitch,0,37.86975,-112.43437,-73208.076,-218118.113,-74340.0,-219240.0,-72060.0,-216990.0
ISMN_SCAN_Price,0,39.53288,-110.80604,68465.529,-33533.562,67320.0,-34680.0,69600.0,-32400.0
ISMN_SCAN_SplitMountain,0,40.39136,-109.35326,190940.112,63881.776,189810.0,62760.0,192090.0,65010.0
ISMN_SCAN_Vermillion,0,37.19061,-112.19252,-52405.379,-293648.022,-53550.0,-294780.0,-51270.0,-292500.0
ISMN_SNOTEL_AguaCanyon,0,37.52217,-112.27118,-59126.805,-256809.242,-60270.0,-257940.0,-57990.0,-255660.0
ISMN_SNOTEL_Atwater,0,40.59124,-111.63775,-2991.061,83678.636,-4140.0,82530.0,-1860.0,84810.0
ISMN_SNOTEL_BearRiverRS,0,40.8852,-110.8277,65296.926,116603.618,64170.0,115470.0,66420.0,117750.0
ISMN_SNOTEL_BeaverDams,0,39.13683,-111.55813,3829.13,-77805.942,2700.0,-78930.0,4950.0,-76680.0
ISMN_SNOTEL_BeaverDivide,0,40.61233,-111.09782,42703.518,86140.398,41580.0,85020.0,43830.0,87270.0
ISMN_SNOTEL_BenLomondPeak,0,41.37603,-111.94405,-28582.618,170880.162,-29730.0,169740.0,-27450.0,172020.0
ISMN_SNOTEL_BenLomondTrail,0,41.38291,-111.92103,-26653.879,171637.03,-27780.0,170490.0,-25530.0,172770.0
ISMN_SNOTEL_BevansCabin,0,40.46182,-112.25233,-55123.623,69507.224,-56250.0,68370.0,-54000.0,70650.0
ISMN_SNOTEL_BigFlat,0,38.30183,-112.35672,-65982.678,-170222.808,-67110.0,-171360.0,-64860.0,-169080.0
ISMN_SNOTEL_BlackFlat-U.M.Ck,0,38.6799,-111.59765,414.901,-128531.58,-720.0,-129660.0,1560.0,-127410.0
ISMN_SNOTEL_BlacksForkJct,0,40.95814,-110.5828,85843.397,124910.272,84720.0,123780.0,86970.0,126060.0
ISMN_SNOTEL_BobsHollow,0,38.94569,-112.15349,-47774.082,-98880.431,-48900.0,-100020.0,-46650.0,-97740.0
ISMN_SNOTEL_BoxCreek,0,38.50809,-112.01856,-36298.499,-147519.638,-37440.0,-148650.0,-35160.0,-146370.0
ISMN_SNOTEL_BoxSprings,0,38.49746,-112.00779,-35364.31,-148703.843,-36510.0,-149850.0,-34230.0,-147570.0
ISMN_SNOTEL_BrianHead,0,37.67994,-112.85674,-110657.517,-238754.452,-111780.0,-239880.0,-109530.0,-237630.0
ISMN_SNOTEL_Brighton,0,40.59936,-111.58167,1756.229,84579.91,630.0,83430.0,2880.0,85710.0
ISMN_SNOTEL_BrownDuck,0,40.58102,-110.58587,86067.253,83032.287,84930.0,81900.0,87210.0,84180.0
ISMN_SNOTEL_BuckFlat,0,39.134,-111.43722,14283.542,-78107.972,13140.0,-79230.0,15420.0,-76980.0
ISMN_SNOTEL_BuckPasture,0,40.84456,-110.66068,79421.74,112226.217,78300.0,111090.0,80550.0,113370.0
ISMN_SNOTEL_BugLake,0,41.68541,-111.41987,15201.006,205197.11,14070.0,204060.0,16350.0,206340.0
ISMN_SNOTEL_BurtsMillerRanch,0,40.98492,-110.85075,63259.679,127660.185,62130.0,126540.0,64380.0,128790.0
ISMN_SNOTEL_CascadeMountain,0,40.283,-111.60992,-637.983,49451.036,-1770.0,48330.0,510.0,50580.0
ISMN_SNOTEL_CastleValley,0,37.66098,-112.74093,-100467.247,-240993.033,-101610.0,-242130.0,-99330.0,-239850.0
ISMN_SNOTEL_ChalkCreek#1,0,40.85464,-111.04765,46780.245,113072.14,45660.0,111930.0,47910.0,114210.0
ISMN_SNOTEL_ChalkCreek#2,0,40.88529,-111.06954,44913.843,116464.381,43770.0,115320.0,46050.0,117600.0
ISMN_SNOTEL_Chepeta,0,40.77458,-110.0105,134388.777,105233.851,133260.0,104100.0,135510.0,106380.0
ISMN_SNOTEL_ClaytonSprings,0,37.9725,-111.83355,-20310.404,-207024.313,-21450.0,-208170.0,-19170.0,-205890.0
ISMN_SNOTEL_ClearCreek#1,0,39.86671,-111.28363,27275.331,3276.561,26130.0,2130.0,28410.0,4410.0
ISMN_SNOTEL_ClearCreek#2,0,39.89275,-111.25154,30009.58,6178.066,28860.0,5040.0,31140.0,7320.0
ISMN_SNOTEL_CurrantCreek,0,40.35747,-111.08993,43534.825,57844.641,42390.0,56700.0,44670.0,58980.0
ISMN_SNOTEL_Daniels-Strawberry,0,40.2953,-111.25677,29389.07,50873.481,28260.0,49740.0,30510.0,52020.0
ISMN_SNOTEL_DillsCamp,0,39.04554,-111.46875,11571.847,-87932.998,10440.0,-89070.0,12720.0,-86790.0
ISMN_SNOTEL_DonkeyReservoir,0,38.2084,-111.47412,11237.544,-180859.935,10110.0,-181980.0,12360.0,-179730.0
ISMN_SNOTEL_DryBreadPond,0,41.41289,-111.5377,5411.614,174920.544,4290.0,173790.0,6540.0,176070.0
ISMN_SNOTEL_DryFork,0,40.56533,-112.17343,-48357.626,80955.294,-49500.0,79830.0,-47220.0,82080.0
ISMN_SNOTEL_EFBlacksForkGS,0,40.88472,-110.54056,89497.747,116799.182,88350.0,115650.0,90630.0,117930.0
ISMN_SNOTEL_Farmington,0,40.97462,-111.80975,-17451.824,126270.312,-18600.0,125130.0,-16320.0,127410.0
ISMN_SNOTEL_FarmingtonLower,0,40.992,-111.81702,-18059.054,128201.727,-19200.0,127080.0,-16920.0,129330.0
ISMN_SNOTEL_FarnsworthLake,0,38.77246,-111.67662,-6448.535,-118254.097,-7590.0,-119400.0,-5310.0,-117120.0
ISMN_SNOTEL_FishLakeUtah,0,38.50455,-111.76693,-14350.527,-147983.054,-15480.0,-149130.0,-13230.0,-146850.0
ISMN_SNOTEL_FivePointsLake,0,40.71785,-110.46721,95917.989,98346.291,94770.0,97200.0,97050.0,99480.0
ISMN_SNOTEL_FranklinBasin,0,42.0505,-111.6012,100.855,245724.356,-1020.0,244590.0,1230.0,246870.0
ISMN_SNOTEL_GBRCHQ,0,39.32019,-111.48827,9843.508,-57444.096,8700.0,-58590.0,10980.0,-56310.0
ISMN_SNOTEL_GBRCMeadows,0,39.30229,-111.45383,12816.695,-59427.044,11670.0,-60570.0,13950.0,-58290.0
ISMN_SNOTEL_GardenCitySummit,0,41.9215,-111.4693,11044.735,231407.323,9900.0,230280.0,12180.0,232530.0
