source_network,network,station_id,station_name,latitude,longitude,elevation_m,start_date,actual_start_date,end_date,n_years,IGBP,lc_cci,koppen_geiger,has_soil_moisture,has_flux,location_group_id,split,oot_eligible,oost_eligible,joint_eval,flux_only_eval,ablation_train,ablation_oos,kg_macro,igbp_macro,elevation_band,soil_nan_pct,soil_patch_ok,same_patch_pair,tile_pair_eval,duplicate_of
ISMN,AMMA-CATCH,Banizoumbou,Banizoumbou,13.5325,2.6604,208.0,20160101,20140101,20181230,5.0,CRO,10.0,BSh,True,False,0,train,False,False,False,False,False,False,B,Grass-Crop,Low,0.0,True,False,False,
ISMN,AMMA-CATCH,Tondikiboro,Tondikiboro,13.548,2.6956,235.0,20160101,20140101,20181230,5.0,CRO,10.0,BSh,True,False,2,train,False,False,False,False,False,False,B,Grass-Crop,Low,0.0013,True,False,False,
ISMN,ARM,Anthony,Anthony,37.2134,-98.0969,412.0,20160101,20140101,20210920,7.7,CRO,10.0,Cfa,True,False,3,train,False,False,False,False,False,False,C,Grass-Crop,Low,0.0,True,False,False,
ISMN,ARM,Ashton,Ashton,37.133,-97.266,386.0,20160226,20160226,20230928,7.5,GRA,130.0,Cfa,True,False,4,train,True,False,False,False,False,False,C,Grass-Crop,Low,0.0002,True,False,False,
ISMN,ARM,Byron,Byron,36.881,-98.285,360.0,20160225,20160225,20211130,5.8,GRA,130.0,Cfa,True,False,5,train,False,False,False,False,False,False,C,Grass-Crop,Low,0.0,True,False,False,
ISMN,ARM,Lamont-CF1,Lamont-CF1,36.605,-97.485,318.0,20160223,20160223,20251230,9.8,GRA,130.0,Cfa,True,False,950,oos,True,False,False,False,False,False,C,Grass-Crop,Low,0.0,True,False,True,
ISMN,ARM,Lamont-CF2,Lamont-CF2,36.607,-97.488,315.0,20210729,20210729,20251230,4.4,GRA,130.0,Cfa,True,False,950,oos,True,False,False,False,False,False,C,Grass-Crop,Low,0.0,True,True,True,
ISMN,ARM,MapleCity,MapleCity,37.0694,-97.7606,417.0,20191004,20191004,20230928,4.0,GRA,130.0,Cfa,True,False,6,oos,False,True,False,False,False,True,C,Grass-Crop,Low,0.0004,True,False,False,
ISMN,ARM,Marshall,Marshall,36.1166,-97.5112,336.0,20160525,20160525,20230928,7.3,GRA,130.0,Cfa,True,False,7,train,True,False,False,False,False,False,C,Grass-Crop,Low,0.0,True,False,False,
ISMN,ARM,Medford,Medford,36.819,-97.8199,328.0,20160226,20160226,20251230,9.8,GRA,130.0,Cfa,True,False,8,oos,False,True,False,False,False,False,C,Grass-Crop,Low,0.0,True,False,False,
