region_id,n_stations,height,width,n_valid,res_m,cond_sinks_raw,cond_flats_raw,cond_sinks_after_breach,cond_sinks_final,cond_flats_final,cond_filled,cond_carved_max_m,cond_raised_max_m,cond_touched_frac,hand_raw_min,hand_raw_neg_frac,slope_floor_frac,stream_frac,stream_ha,t2_hand_min,t2_hand_neg_frac,t2_hand_max_on_streams,t2_a_min_m,t2_sinks_final,t2_flats_final,t2_mass_outlet_sum,t2_mass_n_valid,t2_mass_ok,twi_mean,twi_sd,hand_mean,hand_sd,t3_r_ln_acc_d8,t3_median_ln_ratio,t3_r_ln_acc_hillslope,status,n_edge_truncated,seconds,t_condition,t_acc_mfd,t_d8_network,t_slope_twi,t_hand,t_stations
18,8.0,3208.0,1997.0,6406376.0,30.0,66414.0,7017.0,0.0,0.0,2.0,False,21.310791015625,13.6507568359375,0.09639256265945052,-6.89599609375,0.012515968466415334,0.009220189386323874,0.15540736291469623,10.0,0.0,0.0,0.0,30.0,0.0,2.0,6406376.0,6406376.0,True,9.01463508605957,2.8532209396362305,40.55289077758789,79.12861633300781,0.6704990464113028,0.0,0.5217236322645927,done,0.0,56.533851623535156,4.41,2.77,12.78,0.25,29.13,7.01
15,9.0,2440.0,3183.0,7766520.0,30.0,43090.0,696.0,0.0,0.0,1.0,False,29.26708984375,67.45654296875,0.01943650438034023,-21.451171875,0.0033873601046543367,0.0015562954836915374,0.2945453047182007,10.0,0.0,0.0,0.0,30.0,0.0,1.0,7766520.0,7766520.0,True,9.119354248046875,3.1772620677948,33.94492721557617,60.632568359375,0.6218294426582606,0.0,0.5709040894130395,done,0.0,62.222088098526,3.5,3.66,13.19,0.29,33.66,7.67
22,7.0,2770.0,2896.0,8021920.0,30.0,35986.0,6824.0,0.0,0.0,0.0,False,42.1949462890625,298.24658203125,0.09415937830344855,-130.3480224609375,0.0072162275365498536,0.004151499890300577,0.20337051478947685,10.0,0.0,0.0,0.0,30.0,0.0,0.0,8021920.0,8021920.0,True,8.842916488647461,2.9985406398773193,48.21146011352539,79.9532699584961,0.5992149627188376,0.0,0.4900684178442085,done,0.0,63.674357891082764,4.89,3.61,12.19,0.31,35.33,7.11
41,4.0,3127.0,2526.0,7898802.0,30.0,104680.0,10730.0,0.0,0.0,0.0,False,89.39755249023438,68.83938598632812,0.04629258968638535,-37.8486328125,0.010072286911356938,0.0007772064675124152,0.06777015046079139,10.0,0.0,0.0,0.0,30.0,0.0,0.0,7898802.0,7898802.0,True,7.491805553436279,2.1003456115722656,18.143367767333984,16.883970260620117,0.8655071828180563,0.0,0.7534068364403597,done,0.0,65.2098650932312,4.48,3.98,12.99,0.32,36.03,7.16
11,10.0,4574.0,1797.0,8219478.0,30.0,19907.0,3472.0,0.0,0.0,0.0,False,173.760009765625,73.60546875,0.00470747655751375,-51.6878662109375,0.0005802071615740075,0.0004191263727453252,0.08029354175532802,10.0,0.0,0.0,0.0,30.0,0.0,0.0,8219478.0,8219478.0,True,7.997188568115234,2.117614269256592,36.90717315673828,54.821353912353516,0.7809451105380947,0.0,0.5948467159828701,done,0.0,67.75355982780457,3.12,3.69,13.89,0.32,38.72,7.74
16,9.0,3279.0,2657.0,8712303.0,30.0,125051.0,40957.0,0.0,0.0,16835.0,False,159.15713500976562,371.81884765625,0.04956496577311418,-124.22177124023438,0.013636807627099286,0.003604328270033767,0.06606003028131598,10.0,0.0,0.0,0.0,30.0,0.0,16835.0,8712303.0,8712303.0,True,8.240883827209473,2.168667793273926,20.876672744750977,25.670223236083984,0.801237026856909,0.0,0.6543752837761312,done,0.0,70.6273250579834,7.03,3.63,10.78,0.37,39.68,8.88
21,7.0,2357.0,3882.0,9149874.0,30.0,101121.0,26851.0,0.0,0.0,0.0,False,18.3670654296875,35.446533203125,0.11880469610838357,-16.3076171875,0.012742361260931026,0.007316057029856367,0.1452096498815175,10.0,0.0,0.0,0.0,30.0,0.0,0.0,9149874.0,9149874.0,True,9.584845542907715,2.5846621990203857,12.167964935302734,27.782550811767578,0.6957593598421002,0.0,0.540337280565839,done,0.0,72.23920893669128,7.56,4.38,11.11,0.36,39.95,8.62
7,16.0,2472.0,3025.0,7477800.0,30.0,240549.0,182979.0,0.0,0.0,0.0,False,45.91890335083008,84.09638977050781,0.22697076680307043,-57.75959777832031,0.05509468025355051,0.023151461659846478,0.09150605793147717,10.0,0.0,0.0,0.0,30.0,0.0,0.0,7477800.0,7477800.0,True,8.728118896484375,2.647688150405884,5.588815212249756,7.09591817855835,0.7695288007059667,0.0,0.7772004010621291,done,0.0,80.28069162368774,29.11,3.18,5.23,0.27,33.52,8.68
28,6.0,3085.0,3418.0,10544530.0,30.0,143535.0,42853.0,0.0,0.0,4.0,False,63.63690185546875,58.777008056640625,0.030844997358820167,-50.16827392578125,0.010260106424847764,0.004184539282452608,0.07624796932627628,10.0,0.0,0.0,0.0,30.0,0.0,4.0,10544530.0,10544530.0,True,8.271221160888672,2.3894214630126953,14.895520210266113,17.01868438720703,0.8510815631405597,0.0,0.6898337087796834,done,0.0,81.62874722480774,6.11,4.61,12.85,0.41,47.09,10.26
27,6.0,2294.0,5670.0,13006980.0,30.0,409837.0,5658.0,0.0,0.0,14.0,False,10.9100341796875,28.20556640625,0.15225517376055012,-13.27203369140625,0.023773773773773772,0.01652112942435523,0.11069425800608597,10.0,0.0,0.0,0.0,30.0,0.0,14.0,13006980.0,13006980.0,True,10.57356071472168,2.18300199508667,1.840569019317627,2.797708511352539,0.7967780187885617,0.0,0.5176801261832243,done,0.0,96.7385630607605,6.85,5.41,13.28,0.45,57.7,12.72
